end_date,start_date,temp,cpp,hdd65,cdd65,gdd50
7/25/2009,06/25/2009,75,0.6,0.0,146.0,616.0
8/25/2009,7/25/2009,79,0.7,0.0,300.0,779.0
9/25/2009,8/25/2009,70,0.6,50.0,83.0,507.0
10/25/2009,9/25/2009,59,1.2,363.0,0.0,158.0
11/25/2009,10/25/2009,54,1.6,509.0,0.0,47.0
12/28/2009,11/25/2009,40,3.6,1004.0,0.0,4.0
1/27/2010,12/28/2009,34,4.9,1080.0,0.0,2.0
2/25/2010,1/27/2010,35,5.2,1114.0,0.0,0.0
3/25/2010,2/25/2010,42,3.0,622.0,0.0,21.0
4/26/2010,3/25/2010,57,1.5,427.0,18.0,146.0
5/25/2010,4/26/2010,63,1.0,205.0,42.0,305.0
6/30/2010,5/25/2010,76,0.7,18.0,300.0,833.0
7/25/2010,6/30/2010,82,0.7,0.0,329.0,719.0
8/25/2010,7/25/2010,80,0.6,0.0,291.0,771.0
9/25/2010,8/25/2010,73,0.6,25.0,148.0,604.0
10/25/2010,9/25/2010,64,0.9,273.0,22.0,226.0
11/25/2010,10/25/2010,53,1.7,568.0,0.0,62.0
12/25/2010,11/25/2010,37,4.3,1061.0,0.0,0.0
1/25/2011,12/25/2010,30,5.0,1271.0,0.0,0.0
2/25/2011,1/25/2011,0,0.0,1104.0,0.0,8.0
3/25/2011,2/25/2011,0,0.0,714.0,0.0,12.0
4/25/2011,3/25/2011,51,2.1,588.0,8.0,91.0
5/25/2011,4/25/2011,64,0.7,162.0,30.0,337.0
6/25/2011,5/25/2011,76,0.5,10.0,208.0,680.0
7/25/2011,6/25/2011,81,0.625,0.0,369.0,833.0
8/23/2011,7/25/2011,78,0.621,0.0,265.0,715.0
9/22/2011,8/23/2011,71,0.6,57.0,96.0,512.0
10/23/2011,9/22/2011,64,0.6,193.0,37.0,331.0
11/21/2011,10/23/2011,50,1.6552,553.0,0.0,36.0
12/26/2011,11/21/2011,46,2.343,825.0,0.0,21.0
1/26/2012,12/26/2011,38,3.6,998.0,0.0,0.0
2/26/2012,1/26/2012,41,3.0,899.0,0.0,4.0
3/26/2012,2/26/2012,51,1.9,507.0,0.0,102.0
4/24/2012,3/26/2012,55,1.6,434.0,7.0,106.0
5/23/2012,4/24/2012,62,1.0,212.0,14.0,270.0
6/24/2012,5/23/2012,73,0.5,34.0,170.0,627.0
7/24/2012,6/24/2012,81,0.5,2.0,347.0,791.0
8/22/2012,7/24/2012,79,0.5,2.0,267.0,724.0
9/23/2012,8/22/2012,74,0.5,45.0,141.0,594.0
10/22/2012,9/23/2012,62,0.6,254.0,11.0,231.0
11/20/2012,10/22/2012,50,1.9,522.0,0.0,64.0
12/25/2012,11/20/2012,44,2.6,904.0,0.0,10.0
1/27/2013,12/25/2012,36,3.9,1156.0,0.0,0.0
2/25/2013,1/27/2013,35,4.1,1020.0,0.0,2.0
3/27/2013,2/25/2013,40,3.3,867.0,0.0,0.0
4/24/2013,3/27/2013,52,1.9,478.0,13.0,96.0
5/23/2013,4/24/2013,62,1.0,232.0,24.0,247.0
6/24/2013,5/23/2013,72,0.59,66.0,138.0,569.0
7/24/2013,6/24/2013,82,0.5,0.0,396.0,864.0
8/22/2013,7/24/2013,74,0.5,4.0,146.0,590.0
9/23/2013,8/22/2013,71,0.4,76.0,115.0,470.0
10/22/2013,9/23/2013,64,0.4,195.0,18.0,255.0
11/20/2013,10/22/2013,50,1.6,591.0,0.0,40.0
12/25/2013,11/20/2013,39,3.0,1120.0,0.0,12.0
1/27/2014,12/25/2013,31,4.2,1337.0,0.0,0.0
2/26/2014,1/27/2014,31,4.3,1208.0,0.0,0.0
3/26/2014,2/26/2014,36,3.9,978.0,0.0,0.0
4/24/2014,3/26/2014,52,2.1,532.0,2.0,67.0
5/26/2014,4/24/2014,62,0.9,243.0,17.0,282.0
6/24/2014,5/26/2014,72,0.5,29.0,109.0,527.0
7/24/2014,6/24/2014,78,0.4,0.0,273.0,739.0
8/24/2014,7/24/2014,74,0.3,4.0,157.0,635.0
9/22/2014,8/24/2014,72,0.43,51.0,131.0,535.0
10/22/2014,9/22/2014,63,0.59,211.0,17.0,284.0
11/20/2014,10/22/2014,50,1.6,603.0,0.0,42.0
12/25/2014,11/20/2014,42,3.2,973.0,0.0,12.0
1/27/2015,12/25/2014,34,4.1,1242.0,0.0,1.0
2/25/2015,1/27/2015,26,5.2,1340.0,0.0,0.0
3/26/2015,2/25/2015,37,3.8,985.0,0.0,0.0
4/26/2015,3/26/2015,53,1.9,534.0,0.0,85.0
5/26/2015,4/26/2015,66,0.6,155.0,55.0,361.0
6/24/2015,5/26/2015,75,0.4,44.0,209.0,616.0
7/26/2015,6/24/2015,78,0.4,4.0,227.0,721.0
8/24/2015,7/26/2015,80,0.3,0.0,260.0,708.0
9/21/2015,8/24/2015,76,0.3,11.0,166.0,590.0
10/21/2015,9/21/2015,62,0.7,261.0,16.0,255.0
11/19/2015,10/21/2015,57,0.9,398.0,2.0,112.0
12/22/2015,11/19/2015,49,1.8,710.0,0.0,40.0
1/26/2016,12/22/2015,40,3.2,1103.0,0.0,37.0
